graph_type,vertex_count,edge_count,pathfinder,time_nanos
Tree,460,460,459,SPFA,7713
Tree,510,510,509,Dijkstra,170369
Tree,510,510,509,Floyd-Warshall,208002733
Tree,510,510,509,Bellman-Ford,4329088
Tree,510,510,509,SPFA,12376
Tree,560,560,559,Dijkstra,210968
Tree,560,560,559,Floyd-Warshall,275329017
Tree,560,560,559,Bellman-Ford,5142344
Tree,560,560,559,SPFA,12114
Tree,610,610,609,Dijkstra,231145
Tree,610,610,609,Floyd-Warshall,354997395
Tree,610,610,609,Bellman-Ford,6021358
Tree,610,610,609,SPFA,11030
Tree,660,660,659,Dijkstra,291394
Tree,660,660,659,Floyd-Warshall,446673760
Tree,660,660,659,Bellman-Ford,7024120
Tree,660,660,659,SPFA,11803
Tree,710,710,709,Dijkstra,286630
Tree,710,710,709,Floyd-Warshall,563054909
Tree,710,710,709,Bellman-Ford,8315319
Tree,710,710,709,SPFA,15281
Tree,760,760,759,Dijkstra,462709
Tree,760,760,759,Floyd-Warshall,680854910
Tree,760,760,759,Bellman-Ford,9427730
Tree,760,760,759,SPFA,16887
Tree,810,810,809,Dijkstra,470434
Tree,810,810,809,Floyd-Warshall,819676144
Tree,810,810,809,Bellman-Ford,10762812
Tree,810,810,809,SPFA,19357
Tree,860,860,859,Dijkstra,395582
Tree,860,860,859,Floyd-Warshall,991865630
Tree,860,860,859,Bellman-Ford,12051881
Tree,860,860,859,SPFA,20403
Tree,910,910,909,Dijkstra,498625
Tree,910,910,909,Floyd-Warshall,1175767462
Tree,910,910,909,Bellman-Ford,13804871
Tree,910,910,909,SPFA,24676
Tree,960,960,959,Dijkstra,642443
Tree,960,960,959,Floyd-Warshall,1374055506
Tree,960,960,959,Bellman-Ford,15107821
Tree,960,960,959,SPFA,25276
Tree,1010,1010,1009,Dijkstra,630693
Tree,1010,1010,1009,Floyd-Warshall,1610175850
Tree,1010,1010,1009,Bellman-Ford,16882964
Tree,1010,1010,1009,SPFA,24108
